id,Term,CDRS_Q1,CDRS_Q2,CDRS_Q3,CDRS_Q4,CDRS_Q5,CDRS_Q6,CDRS_Q7,CDRS_Q8,CDRS_Q9,CDRS_Q10,CDRS_Q11,CDRS_Q12,CDRS_Q20,CDRS_Q21,CDRS_Q22,CDRS_Q23,CDRS_Q24,CDRS_Q25
226,Term3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
233,Term3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,2,2,3,3
86,Term3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
209,Term3,3,2,0,3,2,0,4,4,0,4,3,3,0,4,3,3,3,2
44,Term3,3,4,2,3,3,2,2,3,3,4,3,2,2,3,2,3,3,4
174,Term3,3,4,2,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4
109,Term3,3,4,4,4,4,4,3,3,4,4,3,4,1,4,3,3,4,4
39,Term3,4,4,1,3,4,2,4,4,4,4,3,4,2,4,3,3,4,4
186,Term3,3,4,3,3,3,3,3,3,4,3,3,3,2,2,2,2,3,2
252,Term3,3,4,2,3,3,3,4,4,4,3,4,4,2,4,3,4,4,4
53,Term3,3,4,4,3,3,3,3,2,4,4,3,3,2,4,3,4,4,4
83,Term3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,2,2,3,4
2,Term3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
165,Term3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
147,Term3,3,4,3,2,3,3,2,3,4,3,3,3,3,3,3,2,3,3
31,Term4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4
47,Term4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4
13,Term4,3,2,0,3,3,3,3,3,3,4,3,3,1,3,3,3,3,3
26,Term4,2,4,1,2,4,2,2,2,4,3,3,4,2,3,2,2,2,2
88,Term4,3,3,1,3,3,3,3,3,4,4,4,4,3,2,2,3,4,3
